Function Name,Exclusive Samples,Exclusive Samples %,Inclusive Samples,Inclusive Samples %,Source Line Begin,Source Character Begin,Source Line End,Source Character End,
"Ant::iRoulette",130,0.14,130,0.14,500,0,500,0,
"Ant::csRoulette",127,0.13,127,0.13,618,0,618,0,
"AntSystem::Deposit",111,0.12,111,0.12,392,0,392,0,
"Ant::ConstructTour",101,0.11,101,0.11,422,0,422,0,
"Ant::csRoulette",101,0.11,"4,829",5.06,531,0,531,0,
"Ant::csRoulette",99,0.10,99,0.10,556,0,556,0,
"Ant::csRoulette",97,0.10,97,0.10,622,0,622,0,
"AntSystem::Deposit",92,0.10,92,0.10,388,0,388,0,
"Ant::csRoulette",90,0.09,90,0.09,609,0,609,0,
"Ant::iRoulette",82,0.09,82,0.09,485,0,485,0,
"Ant::ConstructTour",81,0.08,"63,798",66.90,408,0,408,0,
"Ant::iRoulette",80,0.08,80,0.08,495,0,495,0,
"Ant::iRoulette",79,0.08,79,0.08,503,0,503,0,
"Ant::csRoulette",73,0.08,73,0.08,598,0,598,0,
"Ant::iRoulette",72,0.08,72,0.08,442,0,442,0,
"Ant::csRoulette",66,0.07,275,0.29,633,0,633,0,
"AntSystem::Deposit",59,0.06,59,0.06,386,0,386,0,
"@ILT+505",58,0.06,58,0.06,0,0,0,0,
"Ant::iRoulette",49,0.05,49,0.05,479,0,479,0,
"Ant::iRoulette",47,0.05,47,0.05,465,0,465,0,
"AntSystem::Deposit",46,0.05,46,0.05,385,0,385,0,
"Ant::csRoulette",44,0.05,"4,382",4.60,607,0,607,0,
"Ant::iRoulette",38,0.04,38,0.04,486,0,486,0,
"Ant::iRoulette",37,0.04,37,0.04,458,0,458,0,
"Ant::iRoulette",36,0.04,36,0.04,512,0,512,0,
"Ant::ConstructTour",33,0.03,33,0.03,419,0,419,0,
"Ant::csRoulette",28,0.03,28,0.03,579,0,579,0,
"Ant::iRoulette",27,0.03,27,0.03,469,0,469,0,
"Ant::iRoulette",27,0.03,27,0.03,514,0,514,0,
"Ant::iRoulette",26,0.03,26,0.03,517,0,517,0,
"Ant::avxRandom",24,0.03,24,0.03,706,0,706,0,
"Ant::csRoulette",22,0.02,22,0.02,629,0,629,0,
"Ant::avxRandom",21,0.02,21,0.02,711,0,711,0,
"Ant::csRoulette",20,0.02,"5,512",5.78,606,0,606,0,
"Ant::csRoulette",19,0.02,19,0.02,599,0,599,0,
"Ant::ConstructTour",18,0.02,18,0.02,420,0,420,0,
"Ant::iRoulette",18,0.02,18,0.02,456,0,456,0,
"Ant::csRoulette",16,0.02,16,0.02,576,0,576,0,
"Ant::csRoulette",16,0.02,16,0.02,602,0,602,0,
"Ant::iRoulette",15,0.02,"3,868",4.06,475,0,475,0,
"Ant::csRoulette",14,0.01,"6,274",6.58,582,0,582,0,
"Ant::iRoulette",13,0.01,13,0.01,510,0,510,0,
"Ant::iRoulette",13,0.01,27,0.03,519,0,519,0,
"AntSystem::Deposit",13,0.01,13,0.01,391,0,391,0,
"@ILT+1110",12,0.01,12,0.01,0,0,0,0,
"AntSystem::Deposit",11,0.01,11,0.01,384,0,384,0,
"AntSystem::DepositFromTour",11,0.01,11,0.01,271,0,271,0,
"@ILT+320",10,0.01,10,0.01,0,0,0,0,
"Ant::ConstructTour",10,0.01,10,0.01,434,0,434,0,
"Ant::csRoulette",10,0.01,10,0.01,624,0,624,0,
"Ant::ConstructTour",9,0.01,9,0.01,401,0,401,0,
"Ant::ConstructTour",9,0.01,"6,253",6.56,412,0,412,0,
"Ant::csRoulette",8,0.01,8,0.01,543,0,543,0,
"Ant::iRoulette",8,0.01,8,0.01,472,0,472,0,
"AntSystem::GetTSP",8,0.01,8,0.01,53,0,53,0,
