Run: 0
b'900' b'5854753.000000' b'16502.375382' b'69.715670' b'16572.091596' b'218039'
b'910' b'5854753.000000' b'16700.316988' b'70.633279' b'16770.950816' b'219137'
b'920' b'5854753.000000' b'16901.653119' b'71.591646' b'16973.245332' b'220264'
b'930' b'5854753.000000' b'17102.679824' b'72.486008' b'17175.166403' b'221370'
b'940' b'5854753.000000' b'17301.678088' b'73.346246' b'17375.024914' b'222497'
b'950' b'5854753.000000' b'17503.320029' b'74.263929' b'17577.584552' b'223580'
b'960' b'5854753.000000' b'17702.652215' b'75.146192' b'17777.799005' b'224663'
b'970' b'5854753.000000' b'17900.912802' b'76.004236' b'17976.917643' b'225763'
b'980' b'5854753.000000' b'18102.274533' b'76.887539' b'18179.162681' b'226858'
b'990' b'5854753.000000' b'18304.181961' b'77.772425' b'18381.955003' b'227892'
b'shortest' b'tour:' b'5854753.000000' b'time' b'18566.120963'
Run: 1
b'0' b'5893847.000000' b'11.171211' b'0.059194' b'11.230406' b'4159'
b'10' b'5890702.000000' b'165.934170' b'0.682389' b'166.616566' b'27640'
b'20' b'5888421.000000' b'331.626153' b'1.221393' b'332.847561' b'39471'
b'30' b'5883273.000000' b'498.609687' b'1.862793' b'500.472501' b'47485'
b'40' b'5882571.000000' b'666.862318' b'2.497976' b'669.360331' b'53928'
b'50' b'5880452.000000' b'836.304564' b'3.081091' b'839.385699' b'59369'
b'60' b'5878152.000000' b'1008.124815' b'3.699635' b'1011.824501' b'64237'
b'70' b'5873791.000000' b'1183.343065' b'4.301325' b'1187.644447' b'68513'
b'80' b'5873791.000000' b'1351.281415' b'4.982751' b'1356.264230' b'72316'
b'90' b'5871461.000000' b'1520.654647' b'5.612715' b'1526.267433' b'75904'
b'100' b'5869992.000000' b'1693.971712' b'6.471231' b'1700.443020' b'79324'
b'110' b'5867488.000000' b'1866.854818' b'7.147675' b'1874.002575' b'82611'
b'120' b'5866249.000000' b'2038.860156' b'7.909778' b'2046.770027' b'85825'
b'130' b'5866249.000000' b'2209.947067' b'8.546263' b'2218.493431' b'88910'
b'140' b'5866201.000000' b'2383.267659' b'9.186232' b'2392.454000' b'91873'
b'150' b'5863960.000000' b'2556.389558' b'9.844513' b'2566.234184' b'94688'
b'160' b'5862615.000000' b'2729.487772' b'10.532324' b'2740.020215' b'97365'
b'170' b'5862615.000000' b'2901.828048' b'11.208326' b'2913.036500' b'100120'
b'180' b'5862615.000000' b'3077.263745' b'11.867505' b'3089.131383' b'102733'
b'190' b'5861178.000000' b'3250.031827' b'12.552621' b'3262.584586' b'105266'
b'200' b'5860503.000000' b'3424.944671' b'13.236740' b'3438.181557' b'107758'
b'210' b'5859932.000000' b'3600.295207' b'13.889664' b'3614.185023' b'110177'
b'220' b'5859932.000000' b'3773.947220' b'14.580037' b'3788.527433' b'112560'
b'230' b'5859932.000000' b'3951.712772' b'15.256456' b'3966.969410' b'114955'
b'240' b'5859932.000000' b'4129.473209' b'15.933261' b'4145.406656' b'117309'
b'250' b'5859932.000000' b'4306.495783' b'16.622002' b'4323.117977' b'119513'
b'260' b'5859516.000000' b'4481.958040' b'17.288913' b'4499.247159' b'121735'
b'270' b'5859516.000000' b'4659.417906' b'17.971906' b'4677.390023' b'123838'
b'280' b'5858995.000000' b'4838.447632' b'18.677478' b'4857.125327' b'125884'
b'290' b'5858995.000000' b'5017.289299' b'19.386252' b'5036.675778' b'127912'
b'300' b'5857727.000000' b'5196.340759' b'20.207368' b'5216.548360' b'129982'
b'310' b'5856808.000000' b'5376.951628' b'20.932344' b'5397.884210' b'131921'
b'320' b'5856808.000000' b'5557.721550' b'21.689601' b'5579.411394' b'133875'
b'330' b'5856775.000000' b'5743.279054' b'22.491788' b'5765.771090' b'135825'
b'340' b'5856775.000000' b'5925.075759' b'23.298516' b'5948.374532' b'137746'
b'350' b'5856775.000000' b'6106.351510' b'24.023664' b'6130.375439' b'139655'
b'360' b'5856775.000000' b'6289.385273' b'24.744917' b'6314.130463' b'141466'
b'370' b'5856775.000000' b'6472.557498' b'25.467181' b'6498.024957' b'143331'
b'380' b'5856775.000000' b'6653.525939' b'26.273563' b'6679.799785' b'145140'
b'390' b'5856775.000000' b'6837.658277' b'27.066240' b'6864.724808' b'146868'
b'400' b'5856775.000000' b'7020.338793' b'27.806276' b'7048.145386' b'148759'
b'410' b'5856775.000000' b'7204.005372' b'28.562446' b'7232.568138' b'150512'
b'420' b'5856775.000000' b'7387.675932' b'29.330574' b'7417.006835' b'152317'
b'430' b'5856775.000000' b'7572.117686' b'30.092334' b'7602.210354' b'154094'
b'440' b'5856775.000000' b'7755.831044' b'30.884131' b'7786.715514' b'155802'
b'450' b'5856775.000000' b'7940.964959' b'31.653735' b'7972.619048' b'157495'
b'460' b'5856775.000000' b'8123.804187' b'32.401440' b'8156.205989' b'159180'
b'470' b'5856169.000000' b'8309.117986' b'33.178068' b'8342.296422' b'160757'
b'480' b'5856169.000000' b'8493.221596' b'33.989608' b'8527.211575' b'162398'
b'490' b'5856169.000000' b'8684.441818' b'34.768198' b'8719.210395' b'163972'
b'500' b'5856169.000000' b'8871.625453' b'35.546700' b'8907.172540' b'165557'
b'510' b'5856169.000000' b'9056.429266' b'36.412183' b'9092.841843' b'167138'
b'520' b'5856169.000000' b'9244.144136' b'37.232489' b'9281.377021' b'168721'
b'530' b'5856169.000000' b'9431.989048' b'38.037325' b'9470.026778' b'170252'
b'540' b'5856169.000000' b'9618.948616' b'38.935877' b'9657.884903' b'171802'
b'550' b'5856169.000000' b'9806.968727' b'39.772529' b'9846.741673' b'173269'
b'560' b'5856169.000000' b'9996.142807' b'40.652793' b'10036.796022' b'174713'
b'570' b'5856169.000000' b'10184.218273' b'41.437110' b'10225.655810' b'176175'
b'580' b'5855701.000000' b'10373.958216' b'42.245263' b'10416.203912' b'177694'
b'590' b'5855701.000000' b'10564.139136' b'43.046680' b'10607.186255' b'179170'
b'600' b'5855701.000000' b'10757.482432' b'43.867509' b'10801.350388' b'180581'
b'610' b'5855701.000000' b'10946.167268' b'44.709133' b'10990.876855' b'181993'
b'620' b'5855701.000000' b'11136.243326' b'45.499724' b'11181.743512' b'183385'
b'630' b'5855701.000000' b'11330.126084' b'46.297893' b'11376.424463' b'184783'
b'640' b'5855421.000000' b'11524.192406' b'47.133015' b'11571.325926' b'186097'
b'650' b'5855421.000000' b'11718.437375' b'47.941053' b'11766.378942' b'187409'
b'660' b'5855421.000000' b'11912.410920' b'48.796825' b'11961.208274' b'188730'
b'670' b'5855421.000000' b'12105.189542' b'49.727622' b'12154.917703' b'190055'
b'680' b'5855421.000000' b'12300.850803' b'50.544895' b'12351.396241' b'191390'
b'690' b'5855421.000000' b'12495.374518' b'51.373192' b'12546.748262' b'192691'
b'700' b'5855421.000000' b'12687.711046' b'52.332567' b'12740.044171' b'193992'
b'710' b'5855421.000000' b'12879.023306' b'53.191590' b'12932.215459' b'195259'
b'720' b'5855421.000000' b'13071.347938' b'54.008416' b'13125.356921' b'196457'
b'730' b'5855421.000000' b'13264.044025' b'54.898601' b'13318.943195' b'197794'
b'740' b'5855421.000000' b'13455.083282' b'55.778225' b'13510.862080' b'199073'
b'750' b'5855421.000000' b'13652.760936' b'56.666795' b'13709.428321' b'200325'
b'760' b'5855421.000000' b'13848.285706' b'57.539011' b'13905.825312' b'201538'
b'770' b'5855421.000000' b'14046.396067' b'58.415332' b'14104.812002' b'202838'
b'780' b'5855421.000000' b'14242.167419' b'59.282503' b'14301.450535' b'204034'
b'790' b'5855421.000000' b'14438.387315' b'60.130700' b'14498.518637' b'205211'
b'800' b'5855421.000000' b'14635.307638' b'60.986878' b'14696.295143' b'206425'
b'810' b'5855421.000000' b'14833.972856' b'61.870184' b'14895.843674' b'207663'
b'820' b'5855421.000000' b'15032.499877' b'62.774858' b'15095.275375' b'208837'
b'830' b'5855421.000000' b'15228.316550' b'63.633195' b'15291.950392' b'210006'
b'840' b'5855421.000000' b'15424.167467' b'64.557264' b'15488.725383' b'211184'
b'850' b'5855421.000000' b'15622.846504' b'65.484902' b'15688.332063' b'212379'
b'860' b'5855333.000000' b'15824.951697' b'66.385157' b'15891.337532' b'213519'
b'870' b'5855333.000000' b'16023.559282' b'67.304213' b'16090.864183' b'214673'
b'880' b'5855333.000000' b'16223.374627' b'68.250916' b'16291.626241' b'215806'
b'890' b'5855333.000000' b'16420.196454' b'69.131047' b'16489.328200' b'216943'
b'900' b'5855333.000000' b'16622.558759' b'70.070093' b'16692.629554' b'218119'
b'910' b'5855333.000000' b'16823.986232' b'70.962741' b'16894.949681' b'219232'
b'920' b'5855333.000000' b'17023.042096' b'71.883006' b'17094.925817' b'220352'
b'930' b'5855333.000000' b'17223.225401' b'72.746262' b'17295.972389' b'221519'
b'940' b'5855333.000000' b'17421.787125' b'73.589366' b'17495.377228' b'222658'
b'950' b'5855333.000000' b'17622.941490' b'74.448137' b'17697.390385' b'223729'
b'960' b'5855333.000000' b'17824.706242' b'75.294260' b'17900.001265' b'224817'
b'970' b'5855333.000000' b'18025.642871' b'76.154529' b'18101.798167' b'225879'
b'980' b'5855333.000000' b'18227.377105' b'77.095878' b'18304.473768' b'226923'
b'990' b'5855333.000000' b'18429.262455' b'77.998953' b'18507.262197' b'227964'
b'shortest' b'tour:' b'5855333.000000' b'time' b'18690.256255'
Run: 2
b'0' b'5891992.000000' b'11.297556' b'0.136523' b'11.434080' b'4177'
b'10' b'5889567.000000' b'164.459799' b'0.854562' b'165.314369' b'27498'
b'20' b'5887651.000000' b'327.873472' b'1.469452' b'329.342938' b'39406'
b'30' b'5884856.000000' b'494.272653' b'2.169291' b'496.441962' b'47469'
b'40' b'5883387.000000' b'662.504158' b'2.767473' b'665.271653' b'53885'
b'50' b'5878399.000000' b'828.830183' b'3.414764' b'832.244974' b'59069'
b'60' b'5878050.000000' b'995.946784' b'4.029220' b'999.976038' b'63728'
b'70' b'5875941.000000' b'1166.460857' b'4.644988' b'1171.105889' b'68014'
b'80' b'5874403.000000' b'1335.201455' b'5.283171' b'1340.484677' b'72042'
b'90' b'5870255.000000' b'1505.413618' b'5.900492' b'1511.314167' b'75747'
b'100' b'5870200.000000' b'1677.065503' b'6.518564' b'1683.584130' b'79220'
b'110' b'5869488.000000' b'1848.408845' b'7.263948' b'1855.672865' b'82665'
b'120' b'5868423.000000' b'2019.149325' b'7.959686' b'2027.109094' b'85842'
b'130' b'5864857.000000' b'2189.978774' b'8.624214' b'2198.603078' b'88945'
b'140' b'5864857.000000' b'2359.254878' b'9.308538' b'2368.563509' b'91859'
b'150' b'5864857.000000' b'2531.126309' b'10.000640' b'2541.127048' b'94686'
b'160' b'5862704.000000' b'2702.829097' b'10.718921' b'2713.548123' b'97470'
b'170' b'5862704.000000' b'2876.288446' b'11.378030' b'2887.666584' b'100152'
b'180' b'5861299.000000' b'3047.898136' b'12.020552' b'3059.918801' b'102871'
b'190' b'5861299.000000' b'3220.726184' b'12.673046' b'3233.399348' b'105432'
b'200' b'5860979.000000' b'3395.906612' b'13.346258' b'3409.252996' b'107982'
b'210' b'5860979.000000' b'3568.056633' b'14.076653' b'3582.133419' b'110460'
b'220' b'5860979.000000' b'3743.951178' b'14.755188' b'3758.706504' b'112818'
b'230' b'5860417.000000' b'3917.733614' b'15.435327' b'3933.169090' b'115193'
b'240' b'5858694.000000' b'4091.451709' b'16.106270' b'4107.558137' b'117546'
b'250' b'5858694.000000' b'4265.278867' b'16.770109' b'4282.049139' b'119806'
b'260' b'5858694.000000' b'4441.884067' b'17.505747' b'4459.389998' b'122017'
b'270' b'5858694.000000' b'4619.557176' b'18.191168' b'4637.748531' b'124134'
b'280' b'5858694.000000' b'4792.602616' b'18.864105' b'4811.466917' b'126306'
b'290' b'5858694.000000' b'4969.459242' b'19.592672' b'4989.052116' b'128417'
b'300' b'5858694.000000' b'5146.906783' b'20.327441' b'5167.234434' b'130537'
b'310' b'5858694.000000' b'5325.761356' b'21.081925' b'5346.843498' b'132533'
b'320' b'5856611.000000' b'5505.297193' b'21.903049' b'5527.200466' b'134546'
b'330' b'5856611.000000' b'5685.029173' b'22.624037' b'5707.653437' b'136506'
b'340' b'5856611.000000' b'5864.620992' b'23.321485' b'5887.942711' b'138403'
b'350' b'5856611.000000' b'6044.457234' b'24.019355' b'6068.476828' b'140298'
b'360' b'5856611.000000' b'6227.903031' b'24.810666' b'6252.713957' b'142242'
b'370' b'5856611.000000' b'6408.037044' b'25.582150' b'6433.619459' b'144086'
b'380' b'5856611.000000' b'6589.709103' b'26.287119' b'6615.996493' b'145887'
b'390' b'5856611.000000' b'6773.088280' b'27.001866' b'6800.090424' b'147696'
b'400' b'5856611.000000' b'6956.506654' b'27.745128' b'6984.252067' b'149492'
b'410' b'5856611.000000' b'7138.978559' b'28.466965' b'7167.445827' b'151203'
