Run: 0
b'130' b'6674206.000000' b'1046.931334' b'9.086024' b'1056.017428'
b'140' b'6672947.000000' b'1117.542967' b'9.799146' b'1127.342189'
b'150' b'6670124.000000' b'1187.418755' b'10.429509' b'1197.848344'
b'160' b'6670073.000000' b'1256.826153' b'11.139758' b'1267.965999'
b'170' b'6667999.000000' b'1325.941744' b'11.957752' b'1337.899588'
b'180' b'6667999.000000' b'1394.372598' b'12.680018' b'1407.052712'
b'190' b'6666833.000000' b'1462.562969' b'13.376837' b'1475.939908'
b'200' b'6666833.000000' b'1530.843572' b'14.134074' b'1544.977751'
b'210' b'6666833.000000' b'1598.961306' b'14.768342' b'1613.729758'
b'220' b'6666833.000000' b'1666.868234' b'15.389835' b'1682.258181'
b'230' b'6666833.000000' b'1734.514702' b'16.020319' b'1750.535144'
b'240' b'6665066.000000' b'1802.084333' b'16.668281' b'1818.752742'
b'250' b'6665066.000000' b'1869.075683' b'17.507054' b'1886.582871'
b'260' b'6664470.000000' b'1936.036096' b'18.232660' b'1954.268893'
b'270' b'6664470.000000' b'2002.937476' b'18.985602' b'2021.923218'
b'280' b'6664470.000000' b'2069.707558' b'19.651321' b'2089.359024'
b'290' b'6664470.000000' b'2136.426990' b'20.418618' b'2156.845759'
b'300' b'6664470.000000' b'2203.117024' b'21.101572' b'2224.218751'
b'310' b'6664273.000000' b'2269.803777' b'21.715742' b'2291.519676'
b'320' b'6664273.000000' b'2336.284996' b'22.416645' b'2358.701805'
b'330' b'6664273.000000' b'2402.799550' b'23.051936' b'2425.851655'
b'340' b'6662883.000000' b'2469.506764' b'23.780170' b'2493.287106'
b'350' b'6662883.000000' b'2535.808762' b'24.416082' b'2560.225021'
b'360' b'6662883.000000' b'2602.567951' b'25.205603' b'2627.773734'
b'370' b'6662883.000000' b'2669.146591' b'25.960104' b'2695.106879'
b'380' b'6662883.000000' b'2735.612509' b'26.650054' b'2762.262750'
b'390' b'6662883.000000' b'2802.130126' b'27.249088' b'2829.379421'
b'400' b'6662883.000000' b'2868.485645' b'27.985100' b'2896.470953'
b'410' b'6662883.000000' b'2934.705257' b'28.601361' b'2963.306849'
b'420' b'6662883.000000' b'3001.025857' b'29.252192' b'3030.278280'
b'430' b'6662883.000000' b'3067.211390' b'30.014514' b'3097.226136'
b'440' b'6661477.000000' b'3133.640481' b'30.689015' b'3164.329750'
b'450' b'6661477.000000' b'3200.015825' b'31.429156' b'3231.445236'
b'460' b'6661477.000000' b'3266.556767' b'32.182888' b'3298.739916'
b'470' b'6661477.000000' b'3332.873299' b'33.033625' b'3365.907187'
b'480' b'6661477.000000' b'3399.016516' b'33.678719' b'3432.695501'
