Run: 0
b'310' b'5857989.000000' b'1602.731909' b'18.520767' b'1621.252893'
b'320' b'5857989.000000' b'1649.936638' b'19.020300' b'1668.957158'
b'330' b'5857989.000000' b'1696.905015' b'19.594184' b'1716.499422'
b'340' b'5857989.000000' b'1744.058372' b'20.111424' b'1764.170024'
b'350' b'5857989.000000' b'1791.257262' b'20.640773' b'1811.898268'
b'360' b'5857989.000000' b'1838.357558' b'21.175908' b'1859.533708'
b'370' b'5857989.000000' b'1885.237117' b'21.803279' b'1907.040642'
b'380' b'5857230.000000' b'1932.149147' b'22.345819' b'1954.495216'
b'390' b'5857230.000000' b'1978.985093' b'22.927683' b'2001.913029'
b'400' b'5857230.000000' b'2025.940593' b'23.495144' b'2049.435995'
b'410' b'5857230.000000' b'2072.999235' b'24.093169' b'2097.092669'
b'420' b'5857230.000000' b'2119.914224' b'24.789528' b'2144.704033'
b'430' b'5857230.000000' b'2167.091621' b'25.292146' b'2192.384051'
b'440' b'5857230.000000' b'2214.089123' b'26.040113' b'2240.129523'
b'450' b'5857230.000000' b'2261.184706' b'26.572410' b'2287.757408'
b'460' b'5856911.000000' b'2308.102320' b'27.140970' b'2335.243588'
b'470' b'5856911.000000' b'2355.143668' b'27.742885' b'2382.886857'
b'480' b'5856911.000000' b'2401.985358' b'28.276736' b'2430.262415'
b'490' b'5856911.000000' b'2448.726689' b'28.779593' b'2477.506608'
b'500' b'5856911.000000' b'2495.571024' b'29.281533' b'2524.852887'
b'510' b'5855786.000000' b'2542.633786' b'29.782698' b'2572.416820'
b'520' b'5855786.000000' b'2589.428502' b'30.425101' b'2619.853944'
b'530' b'5855786.000000' b'2636.472024' b'31.021833' b'2667.494218'
b'540' b'5855786.000000' b'2683.577880' b'31.621010' b'2715.199258'
b'550' b'5855786.000000' b'2730.552924' b'32.200995' b'2762.754292'
b'560' b'5855786.000000' b'2777.462283' b'32.873309' b'2810.335970'
b'570' b'5855786.000000' b'2824.476032' b'33.532657' b'2858.009073'
b'580' b'5855786.000000' b'2871.437265' b'34.156404' b'2905.594058'
b'590' b'5855786.000000' b'2918.479921' b'34.704874' b'2953.185187'
b'600' b'5855786.000000' b'2965.236389' b'35.250208' b'3000.486995'
b'610' b'5855786.000000' b'3012.312405' b'35.790921' b'3048.103726'
b'620' b'5855786.000000' b'3059.299732' b'36.350023' b'3095.650160'
b'630' b'5855786.000000' b'3106.207384' b'36.850532' b'3143.058324'
b'640' b'5855786.000000' b'3153.117600' b'37.446685' b'3190.564699'
b'650' b'5855466.000000' b'3200.251711' b'38.085925' b'3238.338054'
b'660' b'5855466.000000' b'3247.251426' b'38.716297' b'3285.968145'
b'670' b'5855466.000000' b'3294.127329' b'39.266564' b'3333.394321'
b'680' b'5855466.000000' b'3340.945012' b'39.849443' b'3380.794904'
b'690' b'5855466.000000' b'3387.907878' b'40.471916' b'3428.380246'
b'700' b'5855466.000000' b'3434.975472' b'41.025580' b'3476.001508'
b'710' b'5855466.000000' b'3481.835410' b'41.586027' b'3523.421896'
b'720' b'5855466.000000' b'3528.559906' b'42.142042' b'3570.702409'
b'730' b'5855466.000000' b'3575.457852' b'42.651810' b'3618.110129'
b'740' b'5855466.000000' b'3622.300317' b'43.252481' b'3665.553267'
b'750' b'5855466.000000' b'3669.074231' b'43.853739' b'3712.928444'
b'760' b'5855466.000000' b'3716.225615' b'44.419498' b'3760.645592'
b'770' b'5855466.000000' b'3763.285749' b'44.910953' b'3808.197185'
b'780' b'5855466.000000' b'3809.913853' b'45.447541' b'3855.361881'
b'790' b'5855466.000000' b'3856.869298' b'45.985621' b'3902.855413'
b'800' b'5855466.000000' b'3903.791340' b'46.488328' b'3950.280164'
b'810' b'5855466.000000' b'3950.747426' b'46.980779' b'3997.728717'
b'820' b'5855466.000000' b'3997.688944' b'47.559866' b'4045.249329'
b'830' b'5855466.000000' b'4044.881900' b'48.200366' b'4093.082790'
b'840' b'5855466.000000' b'4091.712202' b'48.776437' b'4140.489167'
b'850' b'5855466.000000' b'4138.797754' b'49.393442' b'4188.191745'
b'860' b'5855466.000000' b'4185.468233' b'49.971605' b'4235.440393'
