Run: 0
b'470' b'5854999.000000' b'8249.409711' b'23.597008' b'8273.007159'
b'480' b'5854999.000000' b'8435.637373' b'24.120162' b'8459.757983'
b'490' b'5854999.000000' b'8619.651355' b'24.600816' b'8644.252627'
b'500' b'5854999.000000' b'8806.401768' b'25.092889' b'8831.495120'
b'510' b'5854999.000000' b'8992.063983' b'25.565569' b'9017.630019'
b'520' b'5854999.000000' b'9177.617599' b'26.287719' b'9203.905791'
b'530' b'5854999.000000' b'9367.624864' b'26.798975' b'9394.424320'
b'540' b'5854999.000000' b'9555.889482' b'27.478740' b'9583.368711'
b'550' b'5854999.000000' b'9741.640514' b'28.046844' b'9769.687858'
b'560' b'5854999.000000' b'9928.955030' b'28.588141' b'9957.543677'
b'570' b'5854999.000000' b'10120.367726' b'29.133191' b'10149.501431'
b'580' b'5854999.000000' b'10311.393730' b'29.680546' b'10341.074798'
b'590' b'5854999.000000' b'10502.529113' b'30.214529' b'10532.744174'
b'600' b'5854999.000000' b'10693.982944' b'30.751559' b'10724.735041'
b'610' b'5854999.000000' b'10884.802421' b'31.264317' b'10916.067287'
b'620' b'5854999.000000' b'11074.339718' b'31.794641' b'11106.134916'
b'630' b'5854999.000000' b'11263.659430' b'32.291235' b'11295.951226'
b'640' b'5854999.000000' b'11454.539851' b'32.813429' b'11487.353848'
b'650' b'5854999.000000' b'11643.295766' b'33.335266' b'11676.631608'
b'660' b'5854999.000000' b'11834.203201' b'33.866893' b'11868.070678'
b'670' b'5854999.000000' b'12023.853058' b'34.375064' b'12058.228713'
b'680' b'5854999.000000' b'12214.926715' b'35.029894' b'12249.957206'
b'690' b'5854999.000000' b'12405.758032' b'35.526239' b'12441.284872'
b'700' b'5854999.000000' b'12597.192324' b'36.035238' b'12633.228168'
b'710' b'5854999.000000' b'12786.951301' b'36.560086' b'12823.512000'
b'720' b'5854999.000000' b'12978.843195' b'37.072742' b'13015.916560'
b'730' b'5854999.000000' b'13173.260910' b'37.635815' b'13210.897351'
b'740' b'5854999.000000' b'13367.500280' b'38.175036' b'13405.675949'
b'750' b'5854999.000000' b'13561.686426' b'38.813331' b'13600.500393'
b'760' b'5854999.000000' b'13756.952023' b'39.329966' b'13796.282631'
b'770' b'5854999.000000' b'13951.203936' b'39.862659' b'13991.067262'
b'780' b'5854999.000000' b'14146.425116' b'40.408261' b'14186.834051'
b'790' b'5854999.000000' b'14341.493762' b'40.918039' b'14382.412479'
b'800' b'5854999.000000' b'14541.392055' b'41.453557' b'14582.846294'
b'810' b'5854999.000000' b'14737.129271' b'42.043456' b'14779.173413'
b'820' b'5854999.000000' b'14934.112746' b'42.551473' b'14976.664911'
b'830' b'5854999.000000' b'15130.844310' b'43.061559' b'15173.906568'
b'840' b'5854999.000000' b'15326.892482' b'43.589394' b'15370.482599'
b'850' b'5854999.000000' b'15525.713100' b'44.177559' b'15569.891391'
b'860' b'5854999.000000' b'15724.460212' b'44.696214' b'15769.157160'
b'870' b'5854999.000000' b'15918.266364' b'45.197825' b'15963.464927'
b'880' b'5854999.000000' b'16115.476537' b'45.789723' b'16161.267003'
b'890' b'5854999.000000' b'16312.411000' b'46.320786' b'16358.732538'
b'900' b'5854999.000000' b'16509.548133' b'46.832102' b'16556.380993'
b'910' b'5854999.000000' b'16707.391396' b'47.382987' b'16754.775149'
b'920' b'5854999.000000' b'16907.337640' b'47.984228' b'16955.322643'
b'930' b'5854999.000000' b'17106.141264' b'48.561088' b'17154.703133'
b'940' b'5854999.000000' b'17306.944495' b'49.116101' b'17356.061382'
b'950' b'5854999.000000' b'17510.260180' b'49.638409' b'17559.899387'
b'960' b'5854999.000000' b'17710.144476' b'50.154487' b'17760.299770'
b'970' b'5854999.000000' b'17907.370898' b'50.664065' b'17958.035775'
b'980' b'5854999.000000' b'18108.678849' b'51.215032' b'18159.894701'
b'990' b'5854999.000000' b'18310.722245' b'51.737235' b'18362.460305'
b'shortest' b'tour:' b'5854999.000000' b'time' b'18545.245393'
Run: 3
b'0' b'5893238.000000' b'11.587760' b'0.087099' b'11.674859'
b'10' b'5889905.000000' b'165.678468' b'0.839483' b'166.517959'
b'20' b'5887828.000000' b'328.681464' b'1.392031' b'330.073521'
b'30' b'5884399.000000' b'491.902477' b'1.954201' b'493.856708'
b'40' b'5883750.000000' b'660.529886' b'2.481949' b'663.011873'
b'50' b'5880585.000000' b'830.068034' b'3.012306' b'833.080386'
b'60' b'5877022.000000' b'999.406680' b'3.536584' b'1002.943316'
b'70' b'5875153.000000' b'1169.648480' b'4.136819' b'1173.785358'
b'80' b'5874584.000000' b'1339.908395' b'4.664215' b'1344.572677'
b'90' b'5873309.000000' b'1509.494608' b'5.174626' b'1514.669309'
b'100' b'5870216.000000' b'1681.401562' b'5.696707' b'1687.098351'
b'110' b'5870216.000000' b'1851.779866' b'6.204153' b'1857.984110'
b'120' b'5867892.000000' b'2021.066435' b'6.729912' b'2027.796442'
b'130' b'5867892.000000' b'2192.472798' b'7.273911' b'2199.746806'
b'140' b'5864779.000000' b'2363.993411' b'7.768420' b'2371.761931'
b'150' b'5864779.000000' b'2535.447196' b'8.255168' b'2543.702472'
b'160' b'5864535.000000' b'2706.237876' b'8.825633' b'2715.063620'
b'170' b'5863263.000000' b'2876.513715' b'9.309823' b'2885.823652'
b'180' b'5860508.000000' b'3048.380741' b'9.790077' b'3058.170939'
b'190' b'5860508.000000' b'3219.200691' b'10.277365' b'3229.478187'
b'200' b'5860508.000000' b'3392.078291' b'10.769490' b'3402.847918'
b'210' b'5860508.000000' b'3566.690015' b'11.252783' b'3577.942939'
b'220' b'5859369.000000' b'3739.466434' b'11.803303' b'3751.269880'
b'230' b'5859369.000000' b'3912.456913' b'12.352712' b'3924.809772'
b'240' b'5859369.000000' b'4085.199686' b'12.849460' b'4098.049318'
b'250' b'5859369.000000' b'4262.042641' b'13.348119' b'4275.390937'
b'260' b'5859369.000000' b'4438.914698' b'13.832814' b'4452.747712'
b'270' b'5857520.000000' b'4617.561570' b'14.349918' b'4631.911693'
b'280' b'5857520.000000' b'4795.270314' b'14.902454' b'4810.172977'
b'290' b'5857520.000000' b'4970.862217' b'15.420108' b'4986.282537'
