Run: 0
b'640' b'5855764.000000' b'11435.955463' b'48.267018' b'11484.222901'
b'650' b'5855764.000000' b'11626.322905' b'49.088892' b'11675.412222'
b'660' b'5855764.000000' b'11816.236395' b'49.908065' b'11866.144888'
b'670' b'5855764.000000' b'12009.663637' b'50.750514' b'12060.414585'
b'680' b'5855764.000000' b'12202.746959' b'51.561592' b'12254.308991'
b'690' b'5855764.000000' b'12397.311857' b'52.446176' b'12449.758479'
b'700' b'5855764.000000' b'12591.758614' b'53.293437' b'12645.052501'
b'710' b'5855764.000000' b'12787.138435' b'54.141860' b'12841.280753'
b'720' b'5855764.000000' b'12981.496205' b'54.990963' b'13036.487629'
b'730' b'5855764.000000' b'13174.618881' b'55.810758' b'13230.430103'
b'740' b'5855764.000000' b'13369.598438' b'56.630704' b'13426.229609'
b'750' b'5855764.000000' b'13562.947223' b'57.637299' b'13620.584997'
b'760' b'5855764.000000' b'13757.994135' b'58.503168' b'13816.497784'
b'770' b'5855764.000000' b'13951.293785' b'59.430969' b'14010.725240'
b'780' b'5855764.000000' b'14146.040616' b'60.321965' b'14206.363070'
b'790' b'5855764.000000' b'14340.214953' b'61.196173' b'14401.411638'
b'800' b'5855764.000000' b'14535.657569' b'62.064273' b'14597.722357'
b'810' b'5855764.000000' b'14730.227782' b'62.925973' b'14793.154306'
b'820' b'5855764.000000' b'14927.512528' b'63.847323' b'14991.360405'
b'830' b'5855764.000000' b'15124.572776' b'64.720343' b'15189.293680'
b'840' b'5855764.000000' b'15318.920624' b'65.584347' b'15384.505537'
b'850' b'5855764.000000' b'15517.078306' b'66.435679' b'15583.514555'
b'860' b'5855764.000000' b'15714.040312' b'67.286965' b'15781.327854'
b'870' b'5855764.000000' b'15914.497469' b'68.252456' b'15982.750502'
b'880' b'5855764.000000' b'16114.197550' b'69.146214' b'16183.344346'
b'890' b'5855764.000000' b'16309.672515' b'69.996648' b'16379.669781'
b'900' b'5855764.000000' b'16506.744683' b'70.835435' b'16577.580740'
b'910' b'5855764.000000' b'16706.140972' b'71.698063' b'16777.839665'
b'920' b'5855764.000000' b'16903.475467' b'72.644798' b'16976.120898'
b'930' b'5855764.000000' b'17104.682812' b'73.679432' b'17178.362884'
b'940' b'5855764.000000' b'17303.269113' b'74.568278' b'17377.838032'
b'950' b'5855764.000000' b'17503.393010' b'75.443564' b'17578.837238'
b'960' b'5855764.000000' b'17703.938372' b'76.341832' b'17780.280875'
b'970' b'5855764.000000' b'17905.602617' b'77.274630' b'17982.877923'
b'980' b'5855764.000000' b'18105.959307' b'78.172001' b'18184.131990'
b'990' b'5855764.000000' b'18307.531435' b'79.065796' b'18386.597937'
b'shortest' b'tour:' b'5855764.000000' b'time' b'18568.398090'
Run: 2
b'0' b'5894123.000000' b'10.924479' b'0.056644' b'10.981124'
b'10' b'5890432.000000' b'162.264838' b'0.742632' b'163.007478'
b'20' b'5886234.000000' b'325.848582' b'1.368856' b'327.217450'
b'30' b'5886234.000000' b'490.054393' b'1.960423' b'492.014835'
b'40' b'5881686.000000' b'656.537455' b'2.584392' b'659.121874'
b'50' b'5879531.000000' b'824.366000' b'3.190090' b'827.556121'
b'60' b'5878066.000000' b'993.812561' b'3.870294' b'997.682892'
b'70' b'5875372.000000' b'1163.149159' b'4.488431' b'1167.637630'
b'80' b'5873674.000000' b'1333.072754' b'5.155448' b'1338.228248'
b'90' b'5871271.000000' b'1500.262597' b'5.781765' b'1506.044418'
b'100' b'5871271.000000' b'1670.920860' b'6.445887' b'1677.366810'
b'110' b'5868443.000000' b'1842.420897' b'7.096608' b'1849.517574'
b'120' b'5866985.000000' b'2013.244583' b'7.719265' b'2020.963926'
b'130' b'5866478.000000' b'2184.056553' b'8.395366' b'2192.452005'
b'140' b'5862771.000000' b'2353.940123' b'9.065026' b'2363.005255'
b'150' b'5862771.000000' b'2524.556256' b'9.772459' b'2534.328843'
b'160' b'5862771.000000' b'2696.677011' b'10.464676' b'2707.141820'
b'170' b'5862771.000000' b'2869.587969' b'11.123017' b'2880.711143'
b'180' b'5861418.000000' b'3043.349390' b'11.810440' b'3055.159999'
b'190' b'5861418.000000' b'3216.647383' b'12.477833' b'3229.125387'
b'200' b'5861333.000000' b'3390.217654' b'13.149892' b'3403.367722'
b'210' b'5861333.000000' b'3563.551223' b'13.858067' b'3577.409474'
b'220' b'5861333.000000' b'3737.314855' b'14.536338' b'3751.851385'
b'230' b'5859892.000000' b'3912.763506' b'15.243110' b'3928.006813'
b'240' b'5859892.000000' b'4087.709403' b'15.927370' b'4103.636979'
b'250' b'5859892.000000' b'4260.372932' b'16.644906' b'4277.018050'
b'260' b'5859892.000000' b'4437.672950' b'17.328948' b'4455.002114'
b'270' b'5859530.000000' b'4614.985714' b'18.031698' b'4633.017638'
b'280' b'5858685.000000' b'4791.885258' b'18.754740' b'4810.640236'
b'290' b'5858685.000000' b'4970.609347' b'19.492729' b'4990.102320'
b'300' b'5858663.000000' b'5148.376920' b'20.228755' b'5168.605925'
b'310' b'5857393.000000' b'5326.340169' b'20.937323' b'5347.277747'
b'320' b'5857393.000000' b'5503.071518' b'21.646560' b'5524.718353'
b'330' b'5857393.000000' b'5680.095215' b'22.401092' b'5702.496603'
b'340' b'5857393.000000' b'5859.803898' b'23.102595' b'5882.906795'
b'350' b'5857393.000000' b'6042.524934' b'23.825922' b'6066.351171'
b'360' b'5855340.000000' b'6224.653340' b'24.569020' b'6249.222684'
b'370' b'5855340.000000' b'6406.445331' b'25.444234' b'6431.889894'
b'380' b'5855340.000000' b'6585.867035' b'26.217481' b'6612.084853'
b'390' b'5855340.000000' b'6768.190125' b'26.977543' b'6795.168011'
b'400' b'5855340.000000' b'6947.874795' b'27.766548' b'6975.641692'
b'410' b'5855340.000000' b'7130.241561' b'28.512308' b'7158.754225'
b'420' b'5855340.000000' b'7310.697698' b'29.346151' b'7340.044210'
b'430' b'5855340.000000' b'7495.042631' b'30.107145' b'7525.150140'
b'440' b'5855340.000000' b'7676.790415' b'30.845793' b'7707.636578'
b'450' b'5855340.000000' b'7860.046237' b'31.706683' b'7891.753295'
b'460' b'5855340.000000' b'8045.265442' b'32.477077' b'8077.742917'
b'470' b'5855340.000000' b'8229.959981' b'33.255133' b'8263.215521'
b'480' b'5855340.000000' b'8414.449045' b'34.020767' b'8448.470225'
b'490' b'5855340.000000' b'8600.774102' b'34.794339' b'8635.568864'
b'500' b'5855340.000000' b'8787.849513' b'35.558431' b'8823.408377'
b'510' b'5855340.000000' b'8973.804731' b'36.342991' b'9010.148179'
b'520' b'5855340.000000' b'9159.836581' b'37.145999' b'9196.983043'
b'530' b'5855340.000000' b'9345.837601' b'37.919237' b'9383.757306'
b'540' b'5855340.000000' b'9529.219026' b'38.724003' b'9567.943508'
