Run: 0
b'620' b'8339629.000000' b'13582.545856' b'109.002650' b'13691.548814'
b'630' b'8339629.000000' b'13796.699077' b'110.522782' b'13907.222171'
b'640' b'8339629.000000' b'14006.344492' b'112.082768' b'14118.427573'
b'650' b'8339629.000000' b'14219.924083' b'113.662188' b'14333.586586'
b'660' b'8339629.000000' b'14433.463269' b'115.534667' b'14548.998253'
b'670' b'8339629.000000' b'14648.539711' b'117.156126' b'14765.696156'
b'680' b'8339629.000000' b'14866.114845' b'118.871104' b'14984.986271'
b'690' b'8339629.000000' b'15075.859738' b'120.711251' b'15196.571320'
b'700' b'8339629.000000' b'15286.339845' b'122.494523' b'15408.834703'
b'710' b'8339629.000000' b'15494.808598' b'124.093633' b'15618.902569'
b'720' b'8339629.000000' b'15696.625598' b'126.042929' b'15822.668870'
b'730' b'8339629.000000' b'15903.451534' b'127.287219' b'16030.739101'
b'740' b'8339629.000000' b'16108.556957' b'128.980780' b'16237.538087'
b'750' b'8339629.000000' b'16310.480063' b'130.711921' b'16441.192353'
b'760' b'8339629.000000' b'16515.893940' b'132.823311' b'16648.717621'
b'770' b'8339629.000000' b'16726.862894' b'134.591477' b'16861.454745'
b'780' b'8339629.000000' b'16939.540678' b'136.035108' b'17075.576164'
b'790' b'8339629.000000' b'17151.126996' b'137.719659' b'17288.847034'
b'800' b'8339629.000000' b'17357.811857' b'139.441537' b'17497.253775'
b'810' b'8339629.000000' b'17573.110496' b'140.597237' b'17713.708116'
b'820' b'8339629.000000' b'17783.776081' b'142.581039' b'17926.357507'
b'830' b'8339629.000000' b'17991.565761' b'144.345886' b'18135.912038'
b'840' b'8339629.000000' b'18199.117057' b'145.911821' b'18345.029271'
b'850' b'8339629.000000' b'18410.957599' b'147.442663' b'18558.400656'
b'860' b'8339629.000000' b'18621.818749' b'149.174933' b'18770.994077'
b'870' b'8339629.000000' b'18833.185326' b'150.746520' b'18983.932246'
b'880' b'8339629.000000' b'19035.773998' b'152.586813' b'19188.361213'
b'890' b'8339629.000000' b'19244.996802' b'154.040079' b'19399.037286'
