Run: 0
b'10' b'5888831.000000' b'72.009304' b'0.868716' b'72.878023'
b'20' b'5887353.000000' b'135.487258' b'1.458225' b'136.945490'
b'30' b'5885229.000000' b'196.897186' b'2.074167' b'198.971368'
b'40' b'5882086.000000' b'256.383072' b'2.681315' b'259.064407'
b'50' b'5881251.000000' b'314.349038' b'3.214773' b'317.563839'
b'60' b'5878106.000000' b'370.815358' b'3.768048' b'374.583440'
b'70' b'5874394.000000' b'426.109207' b'4.405745' b'430.514990'
b'80' b'5873182.000000' b'480.320307' b'4.959526' b'485.279876'
b'90' b'5871426.000000' b'533.498313' b'5.548507' b'539.046869'
b'100' b'5869827.000000' b'585.907681' b'6.100033' b'592.007768'
b'110' b'5869827.000000' b'637.328342' b'6.695549' b'644.023952'
b'120' b'5867324.000000' b'688.181559' b'7.284655' b'695.466279'
b'130' b'5865278.000000' b'738.449456' b'7.873876' b'746.323405'
b'140' b'5865278.000000' b'788.269537' b'8.445338' b'796.714956'
b'150' b'5865278.000000' b'837.652026' b'9.033003' b'846.685112'
b'160' b'5864926.000000' b'886.823714' b'9.640336' b'896.464137'
b'170' b'5863670.000000' b'935.927659' b'10.208204' b'946.135973'
b'180' b'5862134.000000' b'984.455017' b'10.826537' b'995.281670'
b'190' b'5860993.000000' b'1032.849507' b'11.408371' b'1044.258002'
b'200' b'5860993.000000' b'1080.992380' b'11.947951' b'1092.940461'
b'210' b'5860033.000000' b'1128.859589' b'12.517905' b'1141.377634'
b'220' b'5860033.000000' b'1176.837160' b'13.042241' b'1189.879544'
b'230' b'5859436.000000' b'1224.686888' b'13.599651' b'1238.286687'
b'240' b'5859436.000000' b'1272.487040' b'14.136131' b'1286.623343'
b'250' b'5859436.000000' b'1320.019692' b'14.736103' b'1334.755975'
b'260' b'5859436.000000' b'1367.289873' b'15.329729' b'1382.619788'
b'270' b'5859436.000000' b'1414.780545' b'15.894791' b'1430.675532'
b'280' b'5859436.000000' b'1462.143174' b'16.532994' b'1478.676367'
b'290' b'5859140.000000' b'1509.651658' b'17.109954' b'1526.761818'
b'300' b'5858754.000000' b'1556.973464' b'17.665595' b'1574.639268'
b'310' b'5858754.000000' b'1604.157091' b'18.225857' b'1622.383160'
b'320' b'5857863.000000' b'1651.323386' b'18.844613' b'1670.168215'
b'330' b'5857863.000000' b'1698.558056' b'19.415415' b'1717.973691'
b'340' b'5857863.000000' b'1745.744295' b'19.987921' b'1765.732440'
b'350' b'5857863.000000' b'1792.905104' b'20.614617' b'1813.519952'
b'360' b'5857863.000000' b'1840.075042' b'21.159196' b'1861.234476'
b'370' b'5857073.000000' b'1887.271694' b'21.727561' b'1908.999515'
b'380' b'5857073.000000' b'1934.247674' b'22.412819' b'1956.660758'
b'390' b'5857073.000000' b'1981.238149' b'23.038875' b'2004.277295'
