Run: 0
b'550' b'6930367.000000' b'5300.835954' b'46.740719' b'5347.577730'
b'560' b'6930062.000000' b'5391.567563' b'47.449164' b'5439.017795'
b'570' b'6930062.000000' b'5481.898276' b'48.269748' b'5530.169108'
b'580' b'6930062.000000' b'5573.076128' b'49.038848' b'5622.116065'
b'590' b'6930062.000000' b'5665.202844' b'49.775445' b'5714.979380'
b'600' b'6930062.000000' b'5756.459780' b'50.514146' b'5806.975022'
b'610' b'6930062.000000' b'5847.185762' b'51.252165' b'5898.439027'
b'620' b'6930062.000000' b'5937.774153' b'52.044863' b'5989.820130'
b'630' b'6930062.000000' b'6029.136157' b'52.766581' b'6081.903865'
b'640' b'6930062.000000' b'6121.262447' b'53.472195' b'6174.735777'
b'650' b'6930062.000000' b'6212.080010' b'54.382475' b'6266.463628'
b'660' b'6930062.000000' b'6302.362393' b'55.331832' b'6357.695378'
b'670' b'6930062.000000' b'6392.825308' b'56.249772' b'6449.076255'
b'680' b'6930062.000000' b'6483.089028' b'57.060680' b'6540.150895'
b'690' b'6930062.000000' b'6573.505644' b'57.911356' b'6631.418204'
b'700' b'6930062.000000' b'6664.942747' b'58.777623' b'6723.721582'
b'710' b'6930062.000000' b'6755.130738' b'59.628504' b'6814.760460'
b'720' b'6930062.000000' b'6845.976131' b'60.439353' b'6906.416708'
b'730' b'6930062.000000' b'6936.616668' b'61.303994' b'6997.921893'
b'740' b'6930062.000000' b'7027.344634' b'62.153716' b'7089.499605'
b'750' b'6930062.000000' b'7118.482766' b'62.986327' b'7181.470359'
b'760' b'6930062.000000' b'7209.399271' b'63.861322' b'7273.261867'
b'770' b'6929892.000000' b'7299.880809' b'64.751808' b'7364.633903'
b'780' b'6929892.000000' b'7390.532755' b'65.549242' b'7456.083303'
b'790' b'6929370.000000' b'7481.006639' b'66.380259' b'7547.388220'
b'800' b'6929370.000000' b'7571.760984' b'67.205179' b'7638.967493'
b'810' b'6929370.000000' b'7662.752040' b'68.092599' b'7730.845985'
b'820' b'6929370.000000' b'7753.385086' b'69.025017' b'7822.411466'
b'830' b'6929370.000000' b'7844.298315' b'69.874745' b'7914.174438'
b'840' b'6929370.000000' b'7935.190194' b'70.647364' b'8005.838947'
b'850' b'6929370.000000' b'8025.498030' b'71.541630' b'8097.041060'
b'860' b'6929370.000000' b'8115.850970' b'72.422709' b'8188.275092'
b'870' b'6929370.000000' b'8206.182967' b'73.244417' b'8279.428811'
b'880' b'6929370.000000' b'8297.188222' b'74.162135' b'8371.351792'
b'890' b'6929370.000000' b'8387.506512' b'75.032300' b'8462.540277'
b'900' b'6929370.000000' b'8477.860301' b'75.753588' b'8553.615372'
b'910' b'6929370.000000' b'8568.595405' b'76.599558' b'8645.196459'
b'920' b'6929370.000000' b'8659.613715' b'77.532986' b'8737.148205'
b'930' b'6929370.000000' b'8749.910690' b'78.289911' b'8828.202117'
b'940' b'6929370.000000' b'8840.411031' b'79.199571' b'8919.612156'
b'950' b'6929370.000000' b'8930.605859' b'80.155760' b'9010.763189'
b'960' b'6929370.000000' b'9021.215967' b'80.985909' b'9102.203460'
b'970' b'6929370.000000' b'9112.393634' b'81.731909' b'9194.127128'
b'980' b'6929370.000000' b'9203.264491' b'82.537184' b'9285.803268'
b'990' b'6929370.000000' b'9294.062816' b'83.383314' b'9377.447740'
b'shortest' b'tour:' b'6929370.000000' b'time' b'9459.910095'
Run: 3
b'0' b'6972023.000000' b'12.998852' b'0.072718' b'13.071572'
b'10' b'6969563.000000' b'141.947421' b'1.341479' b'143.288920'
b'20' b'6965329.000000' b'265.968409' b'2.297896' b'268.266344'
b'30' b'6964923.000000' b'386.101104' b'3.271118' b'389.372281'
b'40' b'6959931.000000' b'502.317699' b'4.220380' b'506.538153'
b'50' b'6958164.000000' b'616.557515' b'5.024609' b'621.582214'
b'60' b'6955834.000000' b'727.381093' b'5.911296' b'733.292541'
b'70' b'6952317.000000' b'835.532884' b'6.701210' b'842.234265'
b'80' b'6950921.000000' b'941.116737' b'7.739495' b'948.856435'
b'90' b'6948401.000000' b'1044.897520' b'8.560391' b'1053.458127'
b'100' b'6948372.000000' b'1146.788776' b'9.560902' b'1156.349917'
b'110' b'6944449.000000' b'1247.533987' b'10.364881' b'1257.899190'
b'120' b'6944449.000000' b'1347.099361' b'11.193841' b'1358.293547'
b'130' b'6942207.000000' b'1444.968518' b'12.044428' b'1457.013301'
b'140' b'6939960.000000' b'1541.589570' b'12.994264' b'1554.584202'
b'150' b'6939960.000000' b'1638.106995' b'13.789817' b'1651.897194'
b'160' b'6939960.000000' b'1734.470341' b'14.560482' b'1749.031208'
b'170' b'6936810.000000' b'1829.825345' b'15.332127' b'1845.157861'
b'180' b'6936810.000000' b'1924.883859' b'16.190176' b'1941.074435'
b'190' b'6935354.000000' b'2018.445900' b'17.007519' b'2035.453850'
b'200' b'6934891.000000' b'2112.289209' b'17.784172' b'2130.073819'
b'210' b'6934891.000000' b'2205.060124' b'18.619002' b'2223.679578'
b'220' b'6932537.000000' b'2297.783505' b'19.345053' b'2317.129017'
b'230' b'6932537.000000' b'2390.422880' b'20.061305' b'2410.484649'
b'240' b'6932537.000000' b'2482.890195' b'20.772986' b'2503.663665'
b'250' b'6932046.000000' b'2575.000292' b'21.613780' b'2596.614569'
b'260' b'6932046.000000' b'2666.983248' b'22.476758' b'2689.460521'
b'270' b'6932046.000000' b'2758.504911' b'23.353220' b'2781.858669'
b'280' b'6932046.000000' b'2850.107035' b'24.162089' b'2874.269678'
b'290' b'6932046.000000' b'2941.337608' b'25.049015' b'2966.387201'
b'300' b'6932046.000000' b'3032.843037' b'25.991361' b'3058.834997'
b'310' b'6932046.000000' b'3124.431783' b'26.858141' b'3151.290542'
b'320' b'6930377.000000' b'3216.048190' b'27.924154' b'3243.972977'
b'330' b'6930377.000000' b'3307.144410' b'28.819462' b'3335.964519'
b'340' b'6930377.000000' b'3398.013400' b'29.723485' b'3427.737561'
b'350' b'6930377.000000' b'3488.835231' b'30.749628' b'3519.585555'
b'360' b'6930377.000000' b'3579.963732' b'31.608985' b'3611.573424'
b'370' b'6930377.000000' b'3671.199626' b'32.416372' b'3703.616720'
b'380' b'6929525.000000' b'3761.893356' b'33.246226' b'3795.140314'
b'390' b'6929525.000000' b'3853.029858' b'34.134164' b'3887.164766'
b'400' b'6929525.000000' b'3943.372565' b'35.030403' b'3978.403728'
b'410' b'6929525.000000' b'4034.570424' b'35.920567' b'4070.491848'
b'420' b'6929525.000000' b'4125.572372' b'36.763062' b'4162.336310'
b'430' b'6929525.000000' b'4216.896218' b'37.611373' b'4254.508478'
b'440' b'6929525.000000' b'4307.602424' b'38.496639' b'4346.099973'
b'450' b'6929525.000000' b'4398.957714' b'39.236200' b'4438.194837'
b'460' b'6929525.000000' b'4490.067874' b'40.140146' b'4530.208969'
b'470' b'6929525.000000' b'4581.143162' b'40.972053' b'4622.116173'
b'480' b'6928597.000000' b'4672.068819' b'41.748630' b'4713.818437'
b'490' b'6928597.000000' b'4762.707970' b'42.574659' b'4805.283638'
b'500' b'6928597.000000' b'4853.492049' b'43.316204' b'4896.809277'
b'510' b'6928597.000000' b'4944.244696' b'44.117527' b'4988.363267'
b'520' b'6928597.000000' b'5035.292266' b'44.986730' b'5080.280049'
b'530' b'6928597.000000' b'5126.383126' b'45.885806' b'5172.269999'
b'540' b'6928597.000000' b'5216.849972' b'46.762111' b'5263.613163'
b'550' b'6928597.000000' b'5307.693987' b'47.579678' b'5355.274762'
b'560' b'6928597.000000' b'5398.679348' b'48.471552' b'5447.152011'
b'570' b'6928597.000000' b'5489.394377' b'49.376192' b'5538.771693'
b'580' b'6928597.000000' b'5580.138324' b'50.219351' b'5630.358809'
b'590' b'6928597.000000' b'5671.119637' b'51.056785' b'5722.177566'
b'600' b'6928597.000000' b'5762.669527' b'51.767234' b'5814.437910'
b'610' b'6928597.000000' b'5852.922130' b'52.706786' b'5905.630080'
b'620' b'6928597.000000' b'5944.339906' b'53.607539' b'5997.948629'
b'630' b'6928597.000000' b'6035.075037' b'54.413862' b'6089.490098'
b'640' b'6928597.000000' b'6125.805356' b'55.208581' b'6181.015223'
b'650' b'6928597.000000' b'6216.174932' b'55.948157' b'6272.124409'
b'660' b'6928597.000000' b'6306.668524' b'56.785695' b'6363.455581'
b'670' b'6928597.000000' b'6397.592675' b'57.554730' b'6455.148786'
b'680' b'6928597.000000' b'6488.507494' b'58.345738' b'6546.854634'
b'690' b'6928597.000000' b'6579.137698' b'59.151589' b'6638.290713'
b'700' b'6928597.000000' b'6669.722874' b'59.939977' b'6729.664292'
b'710' b'6928597.000000' b'6760.040110' b'60.798599' b'6820.840194'
b'720' b'6928597.000000' b'6850.401418' b'61.618976' b'6912.021901'
b'730' b'6928597.000000' b'6941.300218' b'62.338514' b'7003.640267'
b'740' b'6928597.000000' b'7032.113095' b'63.217158' b'7095.331804'
b'750' b'6928597.000000' b'7122.790937' b'64.097784' b'7186.890286'
