Run: 0
b'240' b'5848808.000000' b'1260.496320' b'12.867557' b'1273.364021'
b'250' b'5848808.000000' b'1307.632606' b'13.368152' b'1321.000908'
b'260' b'5848808.000000' b'1354.829310' b'13.891277' b'1368.720741'
b'270' b'5848808.000000' b'1401.736213' b'14.368147' b'1416.104520'
b'280' b'5848472.000000' b'1448.627973' b'14.893560' b'1463.521700'
b'290' b'5848472.000000' b'1495.505020' b'15.405252' b'1510.910448'
b'300' b'5848472.000000' b'1542.077884' b'15.957338' b'1558.035403'
b'310' b'5848137.000000' b'1588.789405' b'16.436164' b'1605.225758'
b'320' b'5847927.000000' b'1635.462492' b'17.017994' b'1652.480678'
b'330' b'5847927.000000' b'1682.060094' b'17.536960' b'1699.597251'
b'340' b'5847310.000000' b'1728.629521' b'18.043933' b'1746.673657'
b'350' b'5847310.000000' b'1775.215951' b'18.551524' b'1793.767683'
b'360' b'5847310.000000' b'1821.867148' b'19.094992' b'1840.962350'
b'370' b'5847166.000000' b'1868.432243' b'19.595927' b'1888.028383'
b'380' b'5847166.000000' b'1915.123836' b'20.093562' b'1935.217616'
b'390' b'5846376.000000' b'1961.631712' b'20.597834' b'1982.229766'
b'400' b'5846376.000000' b'2008.172586' b'21.093704' b'2029.266512'
b'410' b'5846376.000000' b'2054.828423' b'21.592022' b'2076.420674'
b'420' b'5846376.000000' b'2101.203346' b'22.072774' b'2123.276351'
b'430' b'5846376.000000' b'2147.689124' b'22.561001' b'2170.250361'
b'440' b'5846376.000000' b'2194.214497' b'23.056185' b'2217.270939'
b'450' b'5846376.000000' b'2240.462405' b'23.522360' b'2263.985025'
b'460' b'5846376.000000' b'2286.930682' b'24.024727' b'2310.955681'
b'470' b'5846376.000000' b'2333.384998' b'24.519612' b'2357.904890'
b'480' b'5845428.000000' b'2379.522630' b'24.983677' b'2404.506594'
b'490' b'5845428.000000' b'2425.896953' b'25.512200' b'2451.409445'
b'500' b'5845428.000000' b'2472.190083' b'25.981629' b'2498.172007'
b'510' b'5845428.000000' b'2518.402969' b'26.453315' b'2544.856583'
b'520' b'5845428.000000' b'2564.765675' b'27.013383' b'2591.779364'
b'530' b'5845428.000000' b'2611.224314' b'27.555878' b'2638.780503'
b'540' b'5845428.000000' b'2657.575956' b'28.124588' b'2685.700858'
b'550' b'5845428.000000' b'2703.960700' b'28.671053' b'2732.632070'
b'560' b'5845428.000000' b'2750.268584' b'29.181504' b'2779.450410'
b'570' b'5845428.000000' b'2796.557293' b'29.733927' b'2826.291549'
b'580' b'5845428.000000' b'2842.854645' b'30.266494' b'2873.121472'
b'590' b'5845428.000000' b'2889.026485' b'30.757760' b'2919.784581'
b'600' b'5845428.000000' b'2935.157460' b'31.308006' b'2966.465806'
b'610' b'5845428.000000' b'2981.314823' b'31.801936' b'3013.117101'
b'620' b'5845428.000000' b'3027.775989' b'32.363823' b'3060.140158'
b'630' b'5845428.000000' b'3074.270326' b'32.941646' b'3107.212323'
b'640' b'5845428.000000' b'3120.571787' b'33.446357' b'3154.018499'
b'650' b'5845428.000000' b'3166.914266' b'34.019512' b'3200.934134'
b'660' b'5845428.000000' b'3213.393965' b'34.540557' b'3247.934884'
b'670' b'5845428.000000' b'3259.762305' b'35.080762' b'3294.843435'
b'680' b'5845428.000000' b'3306.206343' b'35.594244' b'3341.800957'
b'690' b'5845428.000000' b'3352.503588' b'36.152275' b'3388.656238'
b'700' b'5845428.000000' b'3398.672837' b'36.673023' b'3435.346257'
b'710' b'5845428.000000' b'3445.113368' b'37.216904' b'3482.330673'
b'720' b'5845428.000000' b'3491.505414' b'37.728384' b'3529.234222'
b'730' b'5845428.000000' b'3537.918523' b'38.242261' b'3576.161212'
b'740' b'5845428.000000' b'3584.108520' b'38.748949' b'3622.857898'
b'750' b'5845428.000000' b'3630.393831' b'39.277112' b'3669.671377'
b'760' b'5845428.000000' b'3676.810507' b'39.766448' b'3716.577397'
b'770' b'5845428.000000' b'3723.378519' b'40.265028' b'3763.643992'
